Historic Coal Production Data: 1988,,,,,,,,,,,,,
Source: The U.S. Energy Information Administration (EIA) and the U.S. Mine Safety and Health Administration,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,MSHA ID,Mine Name,Mine State,Mine County,Mine Basin,Mine Status,Mine Type,Company Type,Operation Type,Operating Company,Operating Company Address,Union Code,Production (short tons)
1988,102570,West Blocton #1,Alabama,Bibb,Appalachia Southern,-,Surface,-,Mine only,"B.w.s. Technology, Inc.","4527 L8th Ave East Apt60, Tuscaloosa, AL 35407",Non-Union,"1,037"
1988,-,-,Alabama,Blount,Appalachia Southern,-,Surface,Indepedent Producer Operator,Mine only,-,-,-,"6,382"
1988,102478,Sugar Creek Pit (1 & 2),Alabama,Blount,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,"New Acton Coal Mining Co, Inc.","P O Box 129, Oneonta, AL 35121",Non-Union,349
1988,102632,Long'S Branch Mine,Alabama,Blount,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,"Long Branch Coal Company, Inc.","P O Box 246, Trafford, AL 35172",Non-Union,"130,000"
1988,102654,Blue Springs Pit,Alabama,Blount,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,"New Acton Coal Mining Company,","P O Box 129, Oneonta, AL 35121",Non-Union,"80,600"
1988,102666,Dry Creek Pit,Alabama,Blount,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,New Acton Coal Mining Company,"P O Box 129, Oneonta, AL 35121",Non-Union,"46,000"
1988,102771,Friday'S Crossing,Alabama,Blount,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,"New Acton Coal Mining Co., Inc","P O Box 129, Oneonta, AL 35121",Non-Union,259
1988,100163,Arkadelphia 5761,Alabama,Cullman,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,"Drummond Company, Inc.","Post Office Box 1549, Jasper, AL 35501",United Mine Workers of America,"571,107"
1988,102393,Pit No 1,Alabama,Dekalb,Appalachia Southern,-,Surface,Indepedent Producer Operator,Mine only,"Upper Cliff Mining Co, Inc","1940 Pinson Valley Pky, Birmingham, AL 35217",Non-Union,"4,314"
1988,100759,North River #1 Mine Undergroun,Alabama,Fayette,Appalachia Southern,Inactive,Underground,Operating Subsidiary,Mine and Preparation Plant,The Pittsburg & Midway Coal Mn,"P O Drawer 519, Berry, AL 35546",United Mine Workers of America,"1,110,883"
1988,102748,Stovall-Files,Alabama,Fayette,Appalachia Southern,Inactive,Surface,Operating Subsidiary,Mine only,"B & G Mining, Inc.","1900 1st Natl/So Nat Bld, Birmingham, AL 35203",Non-Union,"5,097"
1988,-,-,Alabama,Jefferson,Appalachia Southern,-,Surface,-,Mine only,-,-,Non-Union,"2,131"
1988,-,-,Alabama,Jefferson,Appalachia Southern,-,Surface,Indepedent Producer Operator,Mine only,-,-,-,"22,049"
1988,100323,Chetopa,Alabama,Jefferson,Appalachia Southern,Inactive,Underground,Indepedent Producer Operator,Mine and Preparation Plant,"Drummond Company, Inc.","Route 1 Box 380, Graysville, AL 35073",United Mine Workers of America,"621,139"
1988,100328,Bessie Mine,Alabama,Jefferson,Appalachia Southern,Inactive,Underground,Operating Subsidiary,Mine and Preparation Plant,Jim Walter Resources Inc,"P O Box 830079, Birmingham, AL 35283",United Mine Workers of America,"527,392"
1988,100406,Beltona Mine,Alabama,Jefferson,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,"Drummond Company, Inc.","P O Box 1549, Jasper, AL 35501",United Mine Workers of America,"74,215"
1988,100627,Flat Top Mine,Alabama,Jefferson,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,"Drummond Company, Inc.","P O Box 1549, Jasper, AL 35501",United Mine Workers of America,"615,909"
1988,100722,Shannon Mine,Alabama,Jefferson,Appalachia Southern,Inactive,Underground,Indepedent Producer Operator,Mine and Preparation Plant,Black Diamond Coal Mining Co,"2229 1/2 First Ave. Nort, Birmingham, AL 35203",United Mine Workers of America,"35,430"
1988,100742,Short Creek 8750,Alabama,Jefferson,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,"Drummond Company, Inc.","P O Box 1549, Jasper, AL 35501",United Mine Workers of America,"952,603"
1988,100758,No 3-Mine,Alabama,Jefferson,Appalachia Southern,Inactive,Underground,Operating Subsidiary,Mine and Preparation Plant,Jim Walter Resources Inc,"Route 1 Box 133, Hwy 216, Brookwood, AL 35444",United Mine Workers of America,"2,166,222"
1988,100851,Oak Grove Mine,Alabama,Jefferson,Appalachia Southern,Inactive,Underground,Indepedent Producer Operator,Mine only,U S Steel Mining Company Inc,"P O Box 599, Fairfield, AL 35064",United Mine Workers of America,"1,437,319"
1988,101037,Knob Strip Mine,Alabama,Jefferson,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,"Drummond Company, Inc.","P O Box 1549, Jasper, AL 35501",United Mine Workers of America,"602,015"
1988,101256,Bryan Loading,Alabama,Jefferson,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,"Drummond Company, Inc.","P O Box 1549, Jasper, AL 35501",United Mine Workers of America,"9,809"
