Historic Coal Production Data: 1992,,,,,,,,,,,,,
Source: The U.S. Energy Information Administration (EIA) and the U.S. Mine Safety and Health Administration,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,MSHA ID,Mine Name,Mine State,Mine County,Mine Basin,Mine Status,Mine Type,Company Type,Operation Type,Operating Company,Operating Company Address,Union Code,Production (short tons)
1992,102868,Yeshic #23,Alabama,Bibb,Appalachia Southern,Active,Surface,Operating Subsidiary,Mine only,"Costain Coal, Inc.","P O Box 309, Oakman, AL 35579",-,"239,247"
1992,102831,Lehigh,Alabama,Blount,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Hallmark Minerals, Inc.","P O Box 87, Locust Fork, AL 35097",Non-Union,876
1992,102833,Helms Mine,Alabama,Blount,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,"R J R Mining Co., Inc.","2870 Old Rocky Ridge S10, Birmingham, AL 35243",-,"3,932"
1992,102946,Lehigh Pit,Alabama,Blount,Appalachia Southern,Active,Surface,-,Mine only,"Bar Coal, Inc.","15854 Highway 216, Brookwood, AL 35444",-,"9,796"
1992,100163,Arkadelphia 5761,Alabama,Cullman,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Drummond Company, Inc.","Post Office Box 1549, Jasper, AL 35502",United Mine Workers of America,"593,952"
1992,102836,Crane Hill,Alabama,Cullman,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Myers Coal Company,"5516 Mccaleb Drive, Dora, AL 35062",-,"59,877"
1992,102935,Wheat-Ardell Mine,Alabama,Cullman,Appalachia Southern,Active,Surface,-,Mine only,"Pine Mountain Energy, Inc.","Route 1, Box 4000, Trafford, AL 35172",-,"26,642"
1992,100759,North River #1 Mine Undergroun,Alabama,Fayette,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,The Pittsburg & Midway Coal Mn,"P O Drawer 519, Berry, AL 35546",United Mine Workers of America,"2,025,584"
1992,102748,Stovall-Files,Alabama,Fayette,Appalachia Southern,Active,Surface,-,Mine only,R.c. Enterprises,"1403 Janna Street, Jasper, AL 35501",Non-Union,"27,357"
1992,102823,Howard Mine,Alabama,Fayette,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Birmingham Coal & Coke Company,"200 Cahaba Park So Ste11, Birmingham, AL 35242",-,"7,317"
1992,102933,Mine #1,Alabama,Jackson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Mountainbrook Coal Co., Inc.","P O Box 175, Higdon, AL 35979",-,"31,701"
1992,102955,Mine #2,Alabama,Jackson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Mountainbrook Coal Co., Inc.","P O Box 175, Higdon, AL 35979",-,"3,048"
1992,100323,Chetopa,Alabama,Jefferson,Appalachia Southern,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,"Drummond Company, Inc.","Route 1 Box 380, Graysville, AL 35073",United Mine Workers of America,"745,602"
1992,100406,Beltona Mine,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Drummond Company, Inc.","P O Box 1549, Jasper, AL 35501",United Mine Workers of America,"109,611"
1992,100627,Flat Top Mine,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Drummond Company, Inc.","P O Box 1549, Jasper, AL 35502",United Mine Workers of America,"981,707"
1992,100758,No 3-Mine,Alabama,Jefferson,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Jim Walter Resources Inc,"P O Box 830079, Birmingham, AL 35283",United Mine Workers of America,"1,825,390"
1992,100851,Oak Grove Mine,Alabama,Jefferson,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,U S Steel Mining Company Inc,"P O Box 2200, Bessemer, AL 35021",United Mine Workers of America,"2,253,607"
1992,101037,-,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,-,-,United Mine Workers of America,"5,236"
1992,101894,Sealy Ann Mountain Mine,Alabama,Jefferson,Appalachia Southern,Active,Surface,Operating Subsidiary,Mine only,Alabama Land And Mineral Corp.,"309 Plant Street, Oakman, AL 35579",Non-Union,"85,446"
1992,102776,Bibby Mine,Alabama,Jefferson,Appalachia Southern,Active,Underground,Indepedent Producer Operator,Mine only,"Drummond Company, Inc.","6050 Bibby Brickyard Roa, Dora, AL 35062",United Mine Workers of America,"45,227"
1992,102809,Mine No. 6,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Abston Construction Company, I","P O Box 830079, Birmingham, AL 35283",-,"244,408"
1992,102867,Black Creek #22,Alabama,Jefferson,Appalachia Southern,Active,Surface,Operating Subsidiary,Mine only,"Costain Coal, Inc.","P O Box 309, Oakman, AL 35579",-,"189,531"
1992,102881,Watson Mine,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Osborn Coal Enterprises, Inc.","P O Box 173, Fultondale, AL 35068",-,"34,854"
1992,102896,Coal Creek Mine,Alabama,Jefferson,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,"New Castle Mining, Inc.","2870 Old Rocky Ridge S10, Birmingham, AL 35243",-,"18,954"
1992,102924,Shady Grove Mine,Alabama,Jefferson,Appalachia Southern,Active,Surface,-,Mine only,H.m.c. Bridge Company,"46 Ridgeland, Tuscaloosa, AL 35406",-,"6,574"
1992,102951,Majestic,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Rjr Mining Company, Inc.","2870 Old Rocky Ridge S10, Birmingham, AL 35243",Non-Union,"46,553"
1992,102410,Texas Mine,Alabama,Marion,Appalachia Southern,Active,Underground,-,Mine only,"Holly Mining, Inc.","P O Box 020249, Tuscaloosa, AL 35402",-,"20,889"
