Historic Coal Production Data: 1998,,,,,,,,,,,,,
Source: The U.S. Energy Information Administration (EIA) and the U.S. Mine Safety and Health Administration,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,MSHA ID,Mine Name,Mine State,Mine County,Mine Basin,Mine Status,Mine Type,Company Type,Operation Type,Operating Company,Operating Company Address,Union Code,Production (short tons)
1998,102838,Hebron Mine,Alabama,Bibb,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Birmingham Coal & Coke,"200 Cahaba Park S Ste 11, Birmingham, AL 35242",-,"22,227"
1998,102831,Lehigh,Alabama,Blount,Appalachia Southern,Temporarily closed,Surface,-,Mine only,"Hallmark Minerals, Inc.","P O Box 87, Locust Fork, AL 35097",-,190
1998,102836,Crane Hill,Alabama,Cullman,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Myers Coal Company,"5516 Mccaleb Drive, Dora, AL 35062",-,"45,011"
1998,103102,Pratt Mine,Alabama,Jefferson,Appalachia Southern,Temporarily closed,Underground,-,Mine only,Fossil Ridge Mining Co. Inc.,"4500 Flat Top Road, Graysville, AL 35073",-,"39,637"
1998,100759,North River #1 Mine Undergroun,Alabama,Fayette,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,The Pittsburg & Midway Coal Mn,"22794 P&m Mining Road, Berry, AL 35546",United Mine Workers of America,"2,418,883"
1998,100627,Flat Top Mine,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Drummond Company, Inc.","P O Box 1549, Jasper, AL 35502",United Mine Workers of America,"891,313"
1998,100758,No 3 Mine,Alabama,Jefferson,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Jim Walter Resources Inc,"4301 Sealy Ann Mt. Road, Adger, AL 35006",United Mine Workers of America,"1,421,834"
1998,100851,Oak Grove Mine,Alabama,Jefferson,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine only,U. S. Steel Mining Company Llc,"8800 Oak Grove Mine Road, Adger, AL 35006",-,"2,803,943"
1998,102354,Lindbergh,Alabama,Jefferson,Appalachia Southern,Active,Surface,Operating Subsidiary,Mine only,"C & H Mining Company, Inc.","P O Box 70250, Tuscaloosa, AL 35407",-,"291,536"
1998,102623,Black Star Mine,Alabama,Jefferson,Appalachia Southern,Permanently abandoned,Underground,Indepedent Producer Operator,Mine only,Alabama Land And Mineral Corp.,"P. O. Box 68, Adger, AL 35006",-,"10,695"
1998,102901,Shoal Creek Mine,Alabama,Jefferson,Appalachia Southern,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,"Drummond Company, Inc.","P O Box 1549, Jasper, AL 35501",United Mine Workers of America,"4,180,152"
1998,102951,Majestic,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Rjr Mining Company, Inc.","2870 Old Rocky Ridge S10, Birmingham, AL 35243",-,"61,859"
1998,103070,Ford Mine,Alabama,Marion,Appalachia Southern,Active,Surface,-,Mine only,Haley Brothers & Partridge Coa,"P O Box 322, Haleyville, AL 35565",-,"19,482"
1998,102908,Boone No. 1,Alabama,Shelby,Appalachia Southern,"Active, men working, not producing",Underground,Indepedent Producer Operator,Mine only,"Oak Mountain Energy, L.l.c.","Post Office Box 1005, Alabaster, AL 35007",-,"397,236"
1998,103105,No. 9 Mine,Alabama,Shelby,Appalachia Southern,Permanently abandoned,Underground,-,Mine only,Island Fork Construction Ltd I,"29501 Mayo Trail, Catlettsburg, KY 41129",-,"15,006"
1998,103109,Ghm #3 Auger,Alabama,Shelby,Appalachia Southern,Permanently abandoned,Surface,-,Mine only,"Green Hill Mining, Inc.","Post Office Box 760, London, KY 40743",-,"10,503"
1998,101247,No 4 Mine,Alabama,Tuscaloosa,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Jim Walter Resources Inc,"14730 Lock 17 Road, Brookwood, AL 35444",United Mine Workers of America,"1,900,330"
1998,101322,No 5 Mine,Alabama,Tuscaloosa,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Jim Walter Resources Inc,"12972 Lock 17 Road, Brookwood, AL 35444",United Mine Workers of America,"1,632,525"
1998,101401,No 7 Mine,Alabama,Tuscaloosa,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Jim Walter Resources Inc,"18069 Hannah Creek Road, Brookwood, AL 35444",United Mine Workers of America,"2,454,771"
