Historic Coal Production Data: 1990,,,,,,,,,,,,,
Source: The U.S. Energy Information Administration (EIA) and the U.S. Mine Safety and Health Administration,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,MSHA ID,Mine Name,Mine State,Mine County,Mine Basin,Mine Status,Mine Type,Company Type,Operation Type,Operating Company,Operating Company Address,Union Code,Production (short tons)
1990,102838,Hebron Mine,Alabama,Bibb,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,Birmingham Coal & Coke,"200 Cahaba Pk S. Ste 112, Birmingham, AL 35242",Non-Union,"3,436"
1990,102790,Blue Springs Mine #2,Alabama,Blount,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,"New Acton Coal Mining Co., Inc","P O Box 129, Oneonta, AL 35121",Non-Union,"5,865"
1990,102791,Straight Mountain Mine,Alabama,Blount,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,"New Acton Coal Mining Co., Inc","300 Bolus Circle, Warrior, AL 35180",-,"66,201"
1990,102818,Straight Mountain Mine #2,Alabama,Blount,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,"New Acton Coal Mining Co., Inc","P O Box 128, Oneonta, AL 35121",-,"37,498"
1990,102831,Lehigh,Alabama,Blount,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,"Hallmark Trucking, Inc.","P O Box 87, Locust Fork, AL 35097",Non-Union,"1,670"
1990,100163,Arkadelphia 5761,Alabama,Cullman,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,"Drummond Company, Inc.","Post Office Box 1549, Jasper, AL 35502",United Mine Workers of America,"514,239"
1990,100759,North River #1 Mine Undergroun,Alabama,Fayette,Appalachia Southern,Inactive,Underground,Operating Subsidiary,Mine and Preparation Plant,The Pittsburg & Midway Coal Mn,"P O Drawer 519, Berry, AL 35546",United Mine Workers of America,"1,867,749"
1990,102808,Berry-Barnes Mine,Alabama,Fayette,Appalachia Southern,-,Surface,-,Mine only,"Tommy Stimpson Excavating, Inc","15210 U S Highway 431, Gadsden, AL 35905",-,"13,283"
1990,102823,Howard Mine,Alabama,Fayette,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,"Burleson Marlins Coal Co., Inc","P O Box 405, Jasper, AL 35501",-,"4,048"
1990,102885,Cane Creek Mine,Alabama,Fayette,Appalachia Southern,-,Surface,-,Mine only,Jack Trotter Jr. Coal Co.,"Route 8 Box 997, Jasper, AL 35501",-,900
1990,102813,Higdon Mine,Alabama,Jackson,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,"Bar Coal, Inc.","P O Box 187, Higdon, AL 35979",-,"59,431"
1990,100323,Chetopa,Alabama,Jefferson,Appalachia Southern,Inactive,Underground,Indepedent Producer Operator,Mine and Preparation Plant,"Drummond Company, Inc.","Route 1 Box 380, Graysville, AL 35073",United Mine Workers of America,"671,338"
1990,100406,Beltona Mine,Alabama,Jefferson,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,"Drummond Company, Inc.","P O Box 1549, Jasper, AL 35501",United Mine Workers of America,"542,635"
1990,100627,Flat Top Mine,Alabama,Jefferson,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,"Drummond Company, Inc.","P O Box 1549, Jasper, AL 35502",United Mine Workers of America,"677,896"
