Historic Coal Production Data: 2001,,,,,,,,,,,,,,,
Source: The U.S. Energy Information Administration (EIA) and the U.S. Mine Safety and Health Administration,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Year,MSHA ID,Mine Name,Mine State,Mine County,Mine Basin,Mine Status,Mine Type,Company Type,Operation Type,Operating Company,Operating Company Address,Union Code,Production (short tons),Average Employees,Labor Hours
2001,100759,North River # 1 Underground Mi,Alabama,Tuscaloosa,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,The Pittsburg & Midway Coal Mi,"12398 New Lexington Rd, Berry, AL 35546",United Mine Workers of America,"3,229,782",325,"693,202"
2001,101247,No 4 Mine,Alabama,Tuscaloosa,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Jim Walter Resources Inc,"14730 Lock 17 Road, Brookwood, AL 35444",United Mine Workers of America,"2,537,247",385,"804,133"
2001,101322,No.  5 Mine,Alabama,Tuscaloosa,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,"Jim Walter Resources, Inc.","12972 Lock 17 Rd, Brookwood, AL 35444",United Mine Workers of America,"1,466,897",389,"764,219"
2001,101401,No. 7 Mine,Alabama,Tuscaloosa,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,"Jim Walter Resources, Inc.","18069 Hannah Creek Rd, Brookwood, AL 35444",United Mine Workers of America,"1,828,387",417,"904,471"
2001,103104,Panther Mine,Alabama,Tuscaloosa,Appalachia Southern,Permanently abandoned,Surface,Indepedent Producer Operator,Mine only,Tuscaloosa Resources Inc,"#3 Office Park Cr,ste 112, Birmingham, AL 35223",,"309,362",29,"79,548"
2001,103144,Brookwood Plant,Alabama,Tuscaloosa,Appalachia Southern,Active,Surface,Operating Subsidiary,Preparation Plant,"Pacificorp Syn Fuel, Llc","19337 Hwy 269, Quinton, AL 35130",,0,4,"4,645"
2001,103144,Brookwood Plant,Alabama,Tuscaloosa,Appalachia Southern,Active,Underground,Operating Subsidiary,Preparation Plant,"Pacificorp Syn Fuel, Llc","19337 Hwy 269, Quinton, AL 35130",,0,3,"4,645"
2001,103163,Carter Mine,Alabama,Tuscaloosa,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Seminole Contracting Company,","177 Elvira Road, Helena, AL 35080",,"65,954",24,"45,498"
2001,103172,Searles Mine No2,Alabama,Tuscaloosa,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Southland Resources Inc,"P.O. Box 285, Peterson, AL 35478",,"113,832",32,"88,531"
2001,103179,Fleetwood Mine No. 1,Alabama,Tuscaloosa,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Black Warrior Minerals, Inc.","P. O. Box 1190, Sumiton, AL 35148",,"295,404",41,"105,021"
2001,103196,Carter Mine,Alabama,Tuscaloosa,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Tuscaloosa Resources Inc,"P.O. Box 53118, Birmingham, AL 35253",,"229,190",27,"70,772"
2001,100340,Gorgas #7 Preparation Plant,Alabama,Walker,Appalachia Southern,Permanently abandoned,Surface,Indepedent Producer Operator,Preparation Plant,"Drummond Company, Inc.","P.O. Box 1549, Jasper, AL 35501",United Mine Workers of America,0,16,"5,340"
2001,100347,Choctaw Loading Facility,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Taft Coal Sales & Associates,","P O Box 1608, Jasper, AL 35502",,"511,231",42,"116,187"
