Historic Coal Production Data: 1997,,,,,,,,,,,,,
Source: The U.S. Energy Information Administration (EIA) and the U.S. Mine Safety and Health Administration,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,MSHA ID,Mine Name,Mine State,Mine County,Mine Basin,Mine Status,Mine Type,Company Type,Operation Type,Operating Company,Operating Company Address,Union Code,Production (short tons)
1997,102838,Hebron Mine,Alabama,Bibb,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Birmingham Coal & Coke,"200 Cahaba Park S Ste 11, Birmingham, AL 35242",Non-Union,"21,199"
1997,102831,Lehigh,Alabama,Blount,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Hallmark Minerals, Inc.","P O Box 87, Locust Fork, AL 35097",Non-Union,"5,765"
1997,102836,Crane Hill,Alabama,Cullman,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Myers Coal Company,"5516 Mccaleb Drive, Dora, AL 35062",Non-Union,"54,160"
1997,103097,Mine #1,Alabama,Cullman,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Kal Coal, Inc.","756 Gibson Hill Road, Berry, AL 35546",-,"20,106"
1997,100759,North River #1 Mine Undergroun,Alabama,Fayette,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,The Pittsburg & Midway Coal Mn,"22794 P&m Mining Road, Berry, AL 35546",United Mine Workers of America,"1,992,408"
1997,103021,Mine No. 3,Alabama,Jackson,Appalachia Southern,Active,Surface,-,Mine only,"Mountainbrook Coal Company, In","P.O. Box 175, Higdon, AL 35979",-,"44,716"
1997,100323,Chetopa,Alabama,Jefferson,Appalachia Southern,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,"Drummond Company, Inc.","P O Box 1549, Jasper, AL 35502",United Mine Workers of America,"29,800"
1997,100627,Flat Top Mine,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Drummond Company, Inc.","P O Box 1549, Jasper, AL 35502",United Mine Workers of America,"959,492"
1997,100758,No 3 Mine,Alabama,Jefferson,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Jim Walter Resources Inc,"4301 Sealy Ann Mt. Road, Adger, AL 35006",United Mine Workers of America,"2,291,423"
1997,100851,Oak Grove Mine,Alabama,Jefferson,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,U. S. Steel Mining Company Llc,"8800 Oak Grove Mine Road, Adger, AL 35007",-,"2,616,071"
1997,102354,Lindbergh,Alabama,Jefferson,Appalachia Southern,Active,Surface,Operating Subsidiary,Mine only,"C & H Mining Company, Inc.","P O Box 70250, Tuscaloosa, AL 35407",-,"265,809"
