Historic Coal Production Data: 1985,,,,,,,,,,,,,
Source: The U.S. Energy Information Administration (EIA) and the U.S. Mine Safety and Health Administration,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,MSHA ID,Mine Name,Mine State,Mine County,Mine Basin,Mine Status,Mine Type,Company Type,Operation Type,Operating Company,Operating Company Address,Union Code,Production (short tons)
1985,102415,Grayhill-Nunally,Alabama,Bibb,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,Alpha Mining Div-Allied Prod.,"P.O. Box 628, Alabaster, AL 35007",-,"103,383"
1985,101910,Walker Gap Pit,Alabama,Blount,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,Berry Mtn Mining Co Inc,"Rt 1 Box 4, Oneonta, AL 35121",Non-Union,"34,314"
1985,102224,Hicks Mine,Alabama,Blount,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,Berry Mountain Mining Co Inc,"Rt.1   Box 4, Oneonta, AL 35121",-,"87,295"
1985,102225,Harvey Pit,Alabama,Blount,Appalachia Southern,Inactive,Surface,-,Mine only,Berry Mountain Mng Co,"Route 1, Oneonta, AL 35121",-,"131,033"
1985,102450,Bennett Pit,Alabama,Blount,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,Berry Mountain Mining,"Rt 1 Box 4, Oneonta, AL 35121",-,"244,346"
1985,102478,Sugar Creek Pit,Alabama,Blount,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,"New Acton Coal Mining Co., Inc","P.O. Box 129, Oneonta, AL 35121",-,"84,559"
1985,102556,Hendrix Mine,Alabama,Blount,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,Berry Mountain Mining Co. Inc.,"P O Box 220, Graysville, AL 35073",-,"83,788"
1985,102594,Nyota Mine,Alabama,Blount,Appalachia Southern,Inactive,Surface,-,Mine only,"Blount Contractors, Inc.","P.O. Box 70, Trafford, AL 35172",-,"72,867"
1985,100163,Arkadelphia 5761,Alabama,Cullman,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,Drummond Coal Co,"P O Box 1549, Jasper, AL 35501",United Mine Workers of America,"521,225"
1985,101903,Ryans Creek Mine,Alabama,Cullman,Appalachia Southern,Inactive,Surface,Operating Subsidiary,Mine only,King Coal Co Inc,"P.O. Drawer 39027, Birmingham, AL 35208",United Mine Workers of America,"37,618"
1985,102393,Carden Mine,Alabama,Dekalb,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,"Upper Cliff Mining Co,inc","1940 Pinson Valley Pkwy, Birmingham, AL 35217",-,"34,800"
1985,100759,North River No. 1 Mine,Alabama,Fayette,Appalachia Southern,Inactive,Underground,Operating Subsidiary,Mine and Preparation Plant,North River Energy Crp,"234 Vestavia Center, Northport, AL 35476",United Mine Workers of America,"1,060,047"
1985,102232,Gibson Hill Mine,Alabama,Fayette,Appalachia Southern,Inactive,Surface,Operating Subsidiary,Mine only,Arch Of Alabama,"P O Box 1688, Jasper, AL 35501",-,"37,342"
1985,102277,Davis Pit,Alabama,Fayette,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,Ron Coal Co. Inc,"P.O. Box 3173, Jasper, AL 35501",-,"11,711"
1985,101791,Pit #1,Alabama,Franklin,Appalachia Southern,Inactive,Surface,Operating Subsidiary,Mine only,Dime Coal Co Inc,"Po Drawer 39027, Birmingham, AL 35208",United Mine Workers of America,"111,829"
1985,101923,Warhurst #8,Alabama,Franklin,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,"Kinlock Coals, Inc","P.O. Drawer 390, Birmingham, AL 35208",United Mine Workers of America,"101,143"
1985,102561,Wilson Mine,Alabama,Franklin,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,Haley Bros & Partridge Coal In,"P O Box 322, Haleyville, AL 35565",-,"53,062"
1985,-,-,Alabama,Jackson,Appalachia Southern,-,Surface,-,Mine only,-,-,-,"19,109"
1985,-,-,Alabama,Jackson,Appalachia Southern,-,Surface,Indepedent Producer Operator,Mine only,-,-,-,"15,054"
1985,102471,Sylvania Mine,Alabama,Jackson,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,Berry Mountain Mining Co Inc,"Rt 1 Box 4, Oneonta, AL 35121",-,"59,076"
1985,100323,Chetopa Mine,Alabama,Jefferson,Appalachia Southern,-,Underground,Indepedent Producer Operator,Mine and Preparation Plant,Alabama By-Products Corp,"P.O. Box 10246, Birmingham, AL 35202",United Mine Workers of America,"386,644"
1985,100328,Bessie Mine,Alabama,Jefferson,Appalachia Southern,Inactive,Underground,-,Mine and Preparation Plant,Jim Walter Resources,"P.O. Box C-79, Birmingham, AL 35283",United Mine Workers of America,"980,763"
1985,100406,Beltona Mine,Alabama,Jefferson,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,Drummond Coal Co,"Po Box 1549, Jasper, AL 35501",United Mine Workers of America,"345,643"
1985,100627,Flat Top Mine,Alabama,Jefferson,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,Drummond Coal Co.,"Po Box 1549, Jasper, AL 35501",United Mine Workers of America,"481,231"
1985,100722,Shannon Mine,Alabama,Jefferson,Appalachia Southern,Inactive,Underground,Indepedent Producer Operator,Mine and Preparation Plant,Black Diamond Coal Mining Co,"2229 1/2 1st Ave No., Birmingham, AL 35203",United Mine Workers of America,"56,415"
1985,100742,Short  Creek 8750,Alabama,Jefferson,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,Drummond Coal Company,"P O Box 1549, Jasper, AL 35501",United Mine Workers of America,"691,635"
1985,100758,#3 Mine Ug,Alabama,Jefferson,Appalachia Southern,Inactive,Underground,-,Mine and Preparation Plant,Jim Walter Resouces,"P.O. Box C-79, Birmingham, AL 35283",United Mine Workers of America,"1,974,028"
1985,100851,Oak Grove,Alabama,Jefferson,Appalachia Southern,Inactive,Underground,Indepedent Producer Operator,Mine only,U.s. Steel Mining Co Inc,"P.O. Box 599, Fairfield, AL 35064",United Mine Workers of America,"1,343,761"
1985,101037,Knob Strip,Alabama,Jefferson,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,Alabama By-Product Crp,"P.O. Box 10246, Birmingham, AL 35202",United Mine Workers of America,"490,265"
1985,101894,"Pits 55, 56, And 57",Alabama,Jefferson,Appalachia Southern,Inactive,Surface,Operating Subsidiary,Mine only,Oakgrove Coal Co,"P.O. Box Drawer 39027, Birmingham, AL 35208",United Mine Workers of America,"492,602"
1985,102208,Oswago Pit #1,Alabama,Jefferson,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,Black Diamond Coal Mining Co,"P.O. Box 128, Adger, AL 35006",-,"113,309"
1985,102350,Praco #7,Alabama,Jefferson,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,Floyd Mining Co Inc,"1485 Forrestdale Blvd, Birmingham, AL 35214",-,"23,000"
1985,102457,Arnold Mine,Alabama,Jefferson,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,Bullock Mining Company Inc,"P O Box 5044, Birmingham, AL 35214",-,"30,532"
1985,102534,Oak Grove,Alabama,Jefferson,Appalachia Southern,Inactive,Surface,Operating Subsidiary,Mine only,Blue Creek Mining Co Inc,"P O Box 1005, Gardendale, AL 35071",-,"86,737"
1985,102583,Sayre #6,Alabama,Jefferson,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,Floyd Mining Co.inc,"1485 Forestdale Blvd, Birmingham, AL 35214",-,"104,000"
1985,102619,Oak Grove #2,Alabama,Jefferson,Appalachia Southern,-,Surface,Indepedent Producer Operator,Mine only,Faulkner Energy Corp,"2100 Data Park, Suite 103, Birmingham, AL 35244",-,"68,403"
1985,-,-,Alabama,Marion,Appalachia Southern,-,Surface,Indepedent Producer Operator,Mine only,-,-,-,"10,000"
1985,101400,Rock City Pit No.5,Alabama,Marion,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,Rock City Coal & Equipment Inc,"Route 3, Winfield, AL 35594",Non-Union,"36,763"
1985,102117,Clifty Creek Pit #1,Alabama,Marion,Appalachia Southern,-,Surface,-,Mine only,Bushay Coal Co,"P.O. Box 121, Brilliant, AL 35548",Non-Union,"21,059"
1985,102607,Dolin Mine,Alabama,Marion,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,Rock City Coal & Equip. Inc.#2,"Rt. 3, Winfield, AL 35594",-,"25,052"
1985,102458,Montevallo,Alabama,Shelby,Appalachia Southern,-,Surface,-,Mine only,Tim Coaland Inc,"Rt 1 Box 121-B, Maylene, AL 35114",-,"12,646"
1985,102545,Coalmont Pit,Alabama,Shelby,Appalachia Southern,-,Surface,Indepedent Producer Operator,Mine only,International Coal Co. Inc,"P.O. Box 151, Leeds, AL 35094",-,"10,000"
1985,-,-,Alabama,Tuscaloosa,Appalachia Southern,-,Surface,-,Mine only,-,-,-,"14,046"
1985,-,-,Alabama,Tuscaloosa,Appalachia Southern,-,Surface,Indepedent Producer Operator,Mine only,-,-,-,"47,510"
1985,100336,2400 Lima,Alabama,Tuscaloosa,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,Abston Construction Co Inc,"Brookwood, AL 35444",Non-Union,"75,056"
1985,100339,Mitchell & Neely Strip,Alabama,Tuscaloosa,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,Mitchell & Neely Inc,"P O Box 5957, Birmingham, AL 35259",Non-Union,"78,952"
1985,100560,Kellerman 1570-1 Strip,Alabama,Tuscaloosa,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,Drummond Coal Co,"P O Box 1549, Jasper, AL 35501",United Mine Workers of America,"475,048"
1985,101086,Kellerman 1570-2 Strip,Alabama,Tuscaloosa,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,Drummond Coal Co,"P O Box 1549, Jasper, AL 35501",United Mine Workers of America,"633,042"
1985,101247,#4 Ug,Alabama,Tuscaloosa,Appalachia Southern,Inactive,Underground,-,Mine and Preparation Plant,Jim Walter Resources,"P.O. Box C-79, Birmingham, AL 35283",United Mine Workers of America,"2,266,077"
1985,101322,#5 Ug,Alabama,Tuscaloosa,Appalachia Southern,Inactive,Underground,Operating Subsidiary,Mine and Preparation Plant,Jim Walter Resources,"P.O. Box C-79, Birmingham, AL 35283",United Mine Workers of America,"1,176,292"
1985,101401,#7 Ug,Alabama,Tuscaloosa,Appalachia Southern,Inactive,Underground,-,Mine and Preparation Plant,Jim Walter Resources,"P.O. Box C-79, Birmingham, AL 35283",United Mine Workers of America,"1,912,955"
1985,101660,Piney Woods,Alabama,Tuscaloosa,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,"Mitchell & Neely, Inc","P O Box 5957, Birmingham, AL 35259",Non-Union,"61,366"
1985,101816,Turkey Creek Mine,Alabama,Tuscaloosa,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,Mitchell & Neely Inc,"P O Box 5957, Birmingham, AL 35259",Non-Union,"128,656"
1985,102384,Pit #1,Alabama,Tuscaloosa,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,C & H  Mining Co Inc,"5002 Tenth Ct East, Tuscaloosa, AL 35405",-,"37,887"
1985,102388,Peterson Pit #1,Alabama,Tuscaloosa,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,Abston Construction Co  Inc,"Rt. 1, Brookwood, AL 35444",-,"69,854"
1985,102428,Hurricane Creek Pit,Alabama,Tuscaloosa,Appalachia Southern,Inactive,Surface,-,Mine only,Basin Coal Co Inc,"P.O. Box 129, Oneonta, AL 35121",-,"63,360"
1985,102443,Mine #1,Alabama,Tuscaloosa,Appalachia Southern,-,Surface,-,Mine only,Fondren Minerals Inc,"#8 Lakeshore Drive, Northport, AL 35476",-,"10,561"
1985,102537,"Triple ""l"" Inc. Pit #1",Alabama,Tuscaloosa,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,"Triple ""l"" Inc.","206 3rd Ave. East, Oneonta, AL 35121",-,"288,141"
1985,102558,Emily No 5,Alabama,Tuscaloosa,Appalachia Southern,Inactive,Surface,Operating Subsidiary,Mine only,North River Energy,"234 Vestavia Center Hwy 82, Northport, AL 35476",-,"291,832"
1985,102567,Tucaloosa Pit #1,Alabama,Tuscaloosa,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,Mc Clarety Constr Equip Co Inc,"Rt 2, Box 327, Horton, AL 35980",-,"25,391"
1985,102588,Warco Pit #1,Alabama,Tuscaloosa,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,Apex Mining Company Inc.,"P.O. Box 36947, Birmingham, AL 35236",-,"77,903"
1985,102633,3 Forks Mine,Alabama,Tuscaloosa,Appalachia Southern,-,Surface,-,Mine only,Gulf Coal & Mining Co. Inc.,"P.O. Box 309, Fultondale, AL 35068",-,"10,009"
1985,-,-,Alabama,Walker,Appalachia Southern,-,Surface,-,Mine only,-,-,-,"19,081"
1985,100340,Gorgas Mine #7,Alabama,Walker,Appalachia Southern,Inactive,Underground,Indepedent Producer Operator,Mine and Preparation Plant,Alabama By-Products Corp,"Po Box 10246, Birmingham, AL 35202",United Mine Workers of America,"604,449"
1985,100341,Cobb Strip Mine,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,Bankhead Mining Co Inc,"P O Box 1629, Jasper, AL 35501",United Mine Workers of America,"425,541"
1985,100347,Segco #1 Ug,Alabama,Walker,Appalachia Southern,Inactive,Underground,Indepedent Producer Operator,Mine and Preparation Plant,Alabama By-Products Crp,"P O Box 127, Goodsprings, AL 35560",United Mine Workers of America,"881,597"
1985,100515,Mary Lee #1,Alabama,Walker,Appalachia Southern,Inactive,Underground,-,Mine only,Alabama By-Products Corp,"P O Box 188, Goodsprings, AL 35560",United Mine Workers of America,"886,358"
1985,100626,Corona Mine,Alabama,Walker,Appalachia Southern,Inactive,Surface,Operating Subsidiary,Mine and Preparation Plant,Arch Of Alabama,"P.O. Box 1688, Jasper, AL 35501",United Mine Workers of America,"769,536"
1985,100821,Mary Lee # 2,Alabama,Walker,Appalachia Southern,Inactive,Underground,Indepedent Producer Operator,Mine and Preparation Plant,Alabama By-Products Corp,"P O Box 248, Goodsprings, AL 35560",United Mine Workers of America,"888,401"
1985,101248,Gorgas Pit,Alabama,Walker,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,Russell Coal Co,"P. O. Box 3187, Jasper, AL 35501",United Mine Workers of America,"271,407"
