Historic Coal Production Data: 1995,,,,,,,,,,,,,
Source: The U.S. Energy Information Administration (EIA) and the U.S. Mine Safety and Health Administration,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,MSHA ID,Mine Name,Mine State,Mine County,Mine Basin,Mine Status,Mine Type,Company Type,Operation Type,Operating Company,Operating Company Address,Union Code,Production (short tons)
1995,102946,Lehigh Mine,Alabama,Blount,Appalachia Southern,-,Surface,-,Mine only,"R & D Mining, Inc.","846 Aldridge Road, Parrish, AL 35580",-,"14,588"
1995,102984,Altoona Mine,Alabama,Blount,Appalachia Southern,-,Surface,-,Mine only,"Contract Augering Services, In","Bldg 8 Ste 150 Ofc Pk Ci, Birmingham, AL 35223",Non-Union,"4,955"
1995,100163,Arkadelphia 5761,Alabama,Cullman,Appalachia Southern,-,Surface,-,Mine only,"Drummond Company, Inc.","Post Office Box 1549, Jasper, AL 35502",United Mine Workers of America,"13,232"
1995,102836,Crane Hill,Alabama,Cullman,Appalachia Southern,-,Surface,Indepedent Producer Operator,Mine only,Myers Coal Company,"5516 Mccaleb Drive, Dora, AL 35062",Non-Union,"74,983"
1995,103062,D & W Mine #1,Alabama,Cullman,Appalachia Southern,-,Surface,-,Mine only,"Black Warrior Minerals, Inc.","P O Box 1190, Sumiton, AL 35148",-,"1,945"
1995,100759,North River #1 Mine Undergroun,Alabama,Fayette,Appalachia Southern,-,Underground,Operating Subsidiary,Mine and Preparation Plant,The Pittsburg & Midway Coal Mn,"22794 P&m Mining Road, Berry, AL 35546",United Mine Workers of America,"1,983,573"
1995,103021,Mine No. 3,Alabama,Jackson,Appalachia Southern,-,Surface,-,Mine only,"Osborn Coal Enterprises, Inc.","P O Box 58, Flat Rock, AL 35966",-,"45,764"
1995,100323,Chetopa,Alabama,Jefferson,Appalachia Southern,-,Underground,Indepedent Producer Operator,Mine and Preparation Plant,"Drummond Company, Inc.","P O Box 1549, Jasper, AL 35502",United Mine Workers of America,"635,562"
1995,100627,Flat Top Mine,Alabama,Jefferson,Appalachia Southern,-,Surface,Indepedent Producer Operator,Mine only,"Drummond Company, Inc.","P O Box 1549, Jasper, AL 35502",United Mine Workers of America,"851,519"
1995,100758,No 3-Mine,Alabama,Jefferson,Appalachia Southern,-,Underground,Operating Subsidiary,Mine only,Jim Walter Resources Inc,"5290 Mud Creek Road, Adger, AL 35006",United Mine Workers of America,"1,846,751"
