Historic Coal Production Data: 1999,,,,,,,,,,,,,
Source: The U.S. Energy Information Administration (EIA) and the U.S. Mine Safety and Health Administration,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,MSHA ID,Mine Name,Mine State,Mine County,Mine Basin,Mine Status,Mine Type,Company Type,Operation Type,Operating Company,Operating Company Address,Union Code,Production (short tons)
1999,102838,Hebron Mine,Alabama,Bibb,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Birmingham Coal & Coke,"2477 Valleydale Rd. S.B3, Birmingham, AL 35244",-,"44,516"
1999,102836,Crane Hill,Alabama,Cullman,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Myers Coal Company,"5516 Mccaleb Drive, Dora, AL 35062",-,"46,288"
1999,103097,Mine #1,Alabama,Cullman,Appalachia Southern,Temporarily closed,Surface,Indepedent Producer Operator,Mine only,"T & B Excavating, Inc.","P.O. Box 574, Jasper, AL 35502",-,"35,734"
1999,100759,North River #1 Mine Undergroun,Alabama,Fayette,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,The Pittsburg & Midway Coal Mn,"12398 New Lexington Road, Berry, AL 35546",United Mine Workers of America,"2,325,137"
1999,100329,Concord Mine,Alabama,Jefferson,Appalachia Southern,Active,Underground,Operating Subsidiary,Preparation Plant,U S Steel Mining Company Llc,"8800 Oak Grove Mine Road, Adger, AL 35006",United Mine Workers of America,0
1999,100722,Shannon Washer Facility,Alabama,Jefferson,Appalachia Southern,"Active, men working, not producing",Surface,Indepedent Producer Operator,Preparation Plant,Alabama Land And Mineral Corp.,"Post Office Box 160, Abernant, AL 35440",-,0
1999,100722,Shannon Washer Facility,Alabama,Jefferson,Appalachia Southern,"Active, men working, not producing",Underground,Indepedent Producer Operator,Preparation Plant,Alabama Land And Mineral Corp.,"Post Office Box 160, Abernant, AL 35440",-,0
1999,100758,No 3 Mine,Alabama,Jefferson,Appalachia Southern,"Active, men working, not producing",Underground,Operating Subsidiary,Mine and Preparation Plant,Jim Walter Resources Inc,"4301 Sealy Ann Mt. Road, Adger, AL 35006",United Mine Workers of America,"337,369"
1999,100851,Oak Grove Mine,Alabama,Jefferson,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine only,U. S. Steel Mining Company Llc,"8800 Oak Grove Mine Road, Adger, AL 35006",United Mine Workers of America,"2,147,722"
1999,102354,Lindbergh,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"C & H Mining Company, Inc.","P O Box 70250, Tuscaloosa, AL 35407",-,"249,171"
1999,102901,Shoal Creek Mine,Alabama,Jefferson,Appalachia Southern,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,"Drummond Company, Inc.","P O Box 1549, Jasper, AL 35501",United Mine Workers of America,"4,080,582"
1999,102951,Majestic,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Rjr Mining Company, Inc.","2870 Old Rocky Ridge S10, Birmingham, AL 35243",-,"77,592"
1999,102957,"K-Lee Processing, Inc.",Alabama,Jefferson,Appalachia Southern,Active,Underground,Contractor,Mine and Preparation Plant,"K-Lee Processing, Inc.","P O Box 19127, Birmingham, AL 35219",United Mine Workers of America,0
1999,103032,North Johns,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Preparation Plant,"R & S Resource Recovery, Inc.","1739 Buttermilk Road, Cordova, AL 35550",-,0
1999,103032,North Johns,Alabama,Jefferson,Appalachia Southern,Active,Underground,Indepedent Producer Operator,Preparation Plant,"R & S Resource Recovery, Inc.","1739 Buttermilk Road, Cordova, AL 35550",-,0
1999,103102,Pratt Mine,Alabama,Jefferson,Appalachia Southern,Active,Underground,Indepedent Producer Operator,Mine only,Fossil Ridge Mining Co. Inc.,"4500 Flat Top Road, Graysville, AL 35073",-,120
1999,103136,Cooper Mine,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Best Coal, Inc.","Post Office Box 1253, Cullman, AL 35056",-,"54,508"
1999,103137,Auger Machine #51,Alabama,Jefferson,Appalachia Southern,Temporarily closed,Surface,Contractor,Mine only,"Green Hill Mining, Inc.","P. O. Box 760, London, KY 40743",-,"16,289"
1999,103140,Eco-12,Alabama,Jefferson,Appalachia Southern,"Active, men working, not producing",Surface,Indepedent Producer Operator,Preparation Plant,Pdi Operations,"P.O. Box 178, Abernant, AL 35440",-,0
1999,103140,Eco-12,Alabama,Jefferson,Appalachia Southern,"Active, men working, not producing",Underground,Indepedent Producer Operator,Preparation Plant,Pdi Operations,"P.O. Box 178, Abernant, AL 35440",-,0
1999,103146,Birmingport Plant,Alabama,Jefferson,Appalachia Southern,Active,Surface,Operating Subsidiary,Preparation Plant,"Birmingham Syn Fuel, Llc","19337 Hwy 269, Quinton, AL 35130",-,0
1999,103146,Birmingport Plant,Alabama,Jefferson,Appalachia Southern,Active,Underground,Operating Subsidiary,Preparation Plant,"Birmingham Syn Fuel, Llc","19337 Hwy 269, Quinton, AL 35130",-,0
1999,103150,Littleton Mine,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Twin Pines Coal Co, Inc.","1874 County Road 15, Bremen, AL 35033",-,"17,942"
1999,102969,Pull Tight Washer,Alabama,Marion,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Preparation Plant,"Big Mitch Prep Co., Inc.","P O Box 321, Brilliant, AL 35548",-,0
1999,103069,Blaylock Mine,Alabama,Marion,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Marshco, Inc.","Post Office Box 420, Brilliant, AL 35548",-,"35,674"
1999,103070,Ford Mine,Alabama,Marion,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Haley Brothers & Partridge Coa,"P O Box 322, Haleyville, AL 35565",-,"9,134"
