Historic Coal Production Data: 2002,,,,,,,,,,,,,,,
Source: The U.S. Energy Information Administration (EIA) and the U.S. Mine Safety and Health Administration,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Year,MSHA ID,Mine Name,Mine State,Mine County,Mine Basin,Mine Status,Mine Type,Company Type,Operation Type,Operating Company,Operating Company Address,Union Code,Production (short tons),Average Employees,Labor Hours
2002,102838,Hebron Mine,Alabama,Bibb,Appalachia Southern,Permanently abandoned,Surface,Indepedent Producer Operator,Mine only,Birmingham Coal & Coke Company,"2477 Valleydale Rd. S. B3, Birmingham, AL 35244",,"10,572",4,"2,712"
2002,103184,Berry Mine,Alabama,Fayette,Appalachia Southern,Temporarily closed,Surface,Indepedent Producer Operator,Mine only,Midas Coal Company Incorporate,"401 10th Avenue, S. E, Cullman, AL 35055",,"9,725",5,"2,480"
2002,100329,Concord Mine,Alabama,Jefferson,Appalachia Southern,Active,Underground,Operating Subsidiary,Preparation Plant,U S Steel Mining Company Llc,"8800 Oak Grove Mine Road, Adger, AL 35006",United Mine Workers of America,0,55,"123,618"
2002,100851,Oak Grove Mine,Alabama,Jefferson,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine only,U S Steel Mining Company Llc,"8800 Oak Grove Mine Rd, Adger, AL 35006",United Mine Workers of America,"1,942,153",331,"748,182"
2002,102354,Lindbergh,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,C & H Mining Company Inc,"P.O. Box 70250, Tuscaloosa, AL 35407",,"168,446",28,"55,306"
2002,102760,Merritt Rogers Mine,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,M S & R Equipment Company Inc,"2361 Cumberland Lake Dr, Pinson, AL 35126",,"133,039",19,"38,155"
2002,102901,Shoal Creek Mine,Alabama,Jefferson,Appalachia Southern,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,"Drummond Company, Inc.","P.O. Box 1549, Jasper, AL 35501",United Mine Workers of America,"3,961,280",692,"1,565,928"
2002,102951,Majestic,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,R J R Mining Company Inc,"104 3rd Street Sw, Cullman, AL 35055",,"61,725",4,"8,400"
2002,103101,North Pratt Prep,Alabama,Jefferson,Appalachia Southern,Active,Underground,Indepedent Producer Operator,Preparation Plant,"A2m, Llc","P.O. Box 244, Buckner, KY 40010",,0,9,"17,220"
2002,103102,North Pratt Mine,Alabama,Jefferson,Appalachia Southern,Active,Underground,Indepedent Producer Operator,Mine only,"A2m, Llc","P.O. Box 244, Buckner, KY 40010",,"46,341",37,"57,064"
2002,103136,Cooper Mine,Alabama,Jefferson,Appalachia Southern,Temporarily closed,Surface,Indepedent Producer Operator,Mine only,Best Coal Inc,"Post Office Box 1253, Cullman, AL 35056",,"96,169",11,"30,517"
2002,103150,Littleton Mine,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Twin Pines Coal Company Inc,"1874 Co Rd 15, Bremen, AL 35033",,"112,480",16,"39,942"
2002,103178,Alabama Fuel Products,Alabama,Jefferson,Appalachia Southern,Active,Surface,Operating Subsidiary,Preparation Plant,"Alabama Coal Recovery, Llc","1329 Forestdale Blvd,s303, Birmingham, AL 35214",,0,28,"48,704"
2002,103178,Alabama Fuel Products,Alabama,Jefferson,Appalachia Southern,Active,Underground,Operating Subsidiary,Preparation Plant,"Alabama Coal Recovery, Llc","1329 Forestdale Blvd,s303, Birmingham, AL 35214",,0,41,"73,055"
2002,103182,Fishtrap,Alabama,Jefferson,Appalachia Southern,Temporarily closed,Surface,Indepedent Producer Operator,Mine only,"Best Coal, Incorporated","P.O. Box 1253, Cullman, AL 35056",,"19,188",5,"2,686"
2002,103069,Blaylock Mine,Alabama,Marion,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Marshco, Inc.","13311 State Hwy 129, Brilliant, AL 35548",,"51,678",8,"11,601"
2002,102976,Piney Woods Prep Plant,Alabama,Shelby,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Preparation Plant,"New Century Mining, Inc.","Post Office Box 1781, Alabaster, AL 35007",,0,7,"14,021"
2002,102976,Piney Woods Prep Plant,Alabama,Shelby,Appalachia Southern,Active,Underground,Indepedent Producer Operator,Preparation Plant,"New Century Mining, Inc.","Post Office Box 1781, Alabaster, AL 35007",,0,3,"7,887"
2002,103217,Coke Mine #1,Alabama,Shelby,Appalachia Southern,Temporarily closed,Underground,Indepedent Producer Operator,Mine only,"New Century Mining, Inc.","P.O. Box 1781, Alabaster, AL 35007",,"29,777",31,"62,499"
2002,100759,North River # 1 Underground Mi,Alabama,Tuscaloosa,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,The Pittsburg & Midway Coal Mi,"12398 New Lexington Rd, Berry, AL 35546",United Mine Workers of America,"3,414,120",319,"662,317"
2002,101247,No 4 Mine,Alabama,Tuscaloosa,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Jim Walter Resources Inc,"14730 Lock 17 Rd, Brookwood, AL 35444",United Mine Workers of America,"2,816,828",395,"867,959"
2002,101322,No.  5 Mine,Alabama,Tuscaloosa,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,"Jim Walter Resources, Inc.","12972 Lock 17 Rd, Brookwood, AL 35444",United Mine Workers of America,"680,107",388,"848,558"
2002,101401,No. 7 Mine,Alabama,Tuscaloosa,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,"Jim Walter Resources, Inc.","18069 Hannah Creek Rd, Brookwood, AL 35444",United Mine Workers of America,"1,981,830",407,"917,042"
2002,103104,Panther Mine,Alabama,Tuscaloosa,Appalachia Southern,Permanently abandoned,Surface,Indepedent Producer Operator,Mine only,Tuscaloosa Resources Inc,"#3 Office Park Cr,ste 112, Birmingham, AL 35223",,"27,774",27,"10,117"
2002,103163,Carter Mine,Alabama,Tuscaloosa,Appalachia Southern,Temporarily closed,Surface,Indepedent Producer Operator,Mine only,Seminole Contracting Company I,"177 Elvira Rd, Helena, AL 35080",,"47,382",19,"37,848"
2002,103172,Searles Mine No. 2,Alabama,Tuscaloosa,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Southland Resources, Inc.","P.O. Box 285, Peterson, AL 35478",,"101,078",31,"44,007"
2002,103179,Fleetwood Mine No 1,Alabama,Tuscaloosa,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Black Warrior Minerals Inc,"P.O. Box 1190, Sumiton, AL 35148",,"293,654",43,"116,561"
2002,103196,Carter Mine,Alabama,Tuscaloosa,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Tuscaloosa Resources Inc,"P.O. Box 531187, Birmingham, AL 35253",,"384,959",56,"138,156"
2002,103240,Panther Mine No. 3,Alabama,Tuscaloosa,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Tuscaloosa Resources, Inc.","P.O. Box 531187, Birmingham, AL 35253",,"41,367",26,"20,488"
2002,100347,Choctaw Mine,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Taft Coal Sales & Associates I,"P.O. Box 1608, Jasper, AL 35502",,"538,711",38,"108,455"
2002,101362,Manchester Mine,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Black Warrior Minerals Inc,"P.O. Box 1190, Sumiton, AL 35148",,"32,465",9,"22,890"
2002,102982,Ninna V Mine,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Birmingham Coal & Coke Company,"2477 Valleydale Rd. S. B3, Birmingham, AL 35244",,"49,342",4,"11,036"
2002,102996,Jap Creek Mine,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,New Acton Coal Mining Company,"1892 Cordova-Gorgas Rd, Cordova, AL 35550",,"405,074",48,"123,583"
2002,103002,Corinth Mine,Alabama,Walker,Appalachia Southern,Active,Underground,Contractor,Mine only,"Iron, Inc.","14910 Watercrest Dr, Northport, AL 35475",,"43,450",9,"16,213"
2002,103004,Miner Hollow Mine,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Bailey Excavating Co., Inc.","6250-B County Road 747, Cullman, AL 35055",,"38,022",5,"6,649"
2002,103034,Copeland,Alabama,Walker,Appalachia Southern,Mine closed by MSHA,Surface,Indepedent Producer Operator,Mine only,Uptown Motors Inc,"P.O. Box 432, Jasper, AL 35502",,"57,033",18,"21,887"
2002,103056,Cane Creek Mine,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Beaird Mining & Mineral Compan,"P.O. Box 100, Cordova, AL 35550",,"1,500",6,"10,280"
2002,103081,Mine No 1,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Twin Pines Coal Company Inc,"1874 Co Rd 15, Bremen, AL 35033",,"316,212",47,"128,895"
2002,103106,Gayosa,Alabama,Walker,Appalachia Southern,Mine closed by MSHA,Surface,Indepedent Producer Operator,Mine only,Taft Coal Sales & Associates I,"P.O. Box 1608, Jasper, AL 35502",,"24,279",16,"12,100"
2002,103107,Fancy Lump Mine No 2,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Treadyway Inc,"Post Office Box 932, Jasper, AL 35502",,"78,683",25,"59,870"
2002,103116,L Massey Mine,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Mann Steel Products Inc,"Post Office Box 531044, Birmingham, AL 35253",,"118,851",14,"29,475"
2002,103128,Spring Branch Mine,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Haley Bros. Coal, Inc.","P.O. Box 322, Haleyville, AL 35565",,"80,169",10,"25,400"
2002,103129,Dilworth Mine,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Wasatch Mining, Inc.","400 East 20th Street, Jasper, AL 35502",,"34,187",8,"15,744"
2002,103155,Corinth Prep Plant,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Preparation Plant,Warrior Investment Company Inc,"218 Highway 195, Jasper, AL 35503",,0,3,"6,573"
2002,103155,Corinth Prep Plant,Alabama,Walker,Appalachia Southern,Active,Underground,Indepedent Producer Operator,Preparation Plant,Warrior Investment Company Inc,"218 Highway 195, Jasper, AL 35503",,0,5,"12,207"
2002,103162,Guthrie Creek Mine,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Uptown Motors Inc,"P.O. Box 432, Jasper, AL 35502",,"276,990",31,"80,960"
2002,103235,Bryant's Creek,Alabama,Walker,Appalachia Southern,Active,Surface,Contractor,Mine only,"Cherokee Mining, L.L.C.","P.O. Box 1608, Jasper, AL 35502",,"128,681",17,"45,005"
2002,102639,Hickory Grove,Alabama,Winston,Appalachia Southern,Mine closed by MSHA,Surface,Indepedent Producer Operator,Mine only,Mann Steel Products Inc,"P.O. Box 531044, Birmingham, AL 35253",,"195,811",26,"64,042"
2002,103207,Crossroads,Alabama,Winston,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Birmingham Coal & Coke Company,"P.O. Box 351, Lynn, AL 35575",,"80,161",5,"15,745"
2002,5000030,Usibelli,Alaska,Yukon-Koyukuk,Western,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,Usibelli Coal Mine Inc,"P.O. Box 1000, Healy, AK 99743",,"1,145,713",99,"230,152"
2002,200533,Black Mesa,Arizona,Navajo,Western,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,Peabody Western Coal Company,"P.O. Box 605, Kayenta, AZ 86033",United Mine Workers of America,"4,570,194",247,"571,991"
2002,201047,Kayenta Preparation Plant,Arizona,Navajo,Western,Active,Surface,Operating Subsidiary,Preparation Plant,Black Mesa Pipeline Operations,"1509 E. Butler Ave, Flagstaff, AZ 86001",United Mine Workers of America,0,35,"64,807"
2002,201195,Kayenta,Arizona,Navajo,Western,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,Peabody Western Coal Company,"P.O. Box 605, Kayenta, AZ 86033",United Mine Workers of America,"8,233,863",399,"1,138,546"
2002,301650,Mine #2,Arkansas,Johnson,Interior,Permanently abandoned,Surface,Indepedent Producer Operator,Mine only,R & S Coal Company,"P.O. Box 377, Scranton, AR 72863",,499,2,"1,440"
2002,301569,Penny #1,Arkansas,Sebastian,Interior,Active,Surface,Indepedent Producer Operator,Mine only,Comer Mining Company,"P.O. Box 986, Greenwood, AR 72936",,"11,597",2,"4,157"
2002,301716,Shale-Co,Arkansas,Sebastian,Interior,Permanently abandoned,Surface,Indepedent Producer Operator,Mine only,Johnson Coal & Machinery Corp,"1700 Woods Rd, Hackett, AR 72937",,793,1,400
2002,301736,Sebastian County Coal Mine,Arkansas,Sebastian,Interior,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,Mid-America Mining & Developme,"P.O. Box 312, Hartford, AR 72938",,894,22,"42,522"
2002,503818,Terror Creek Loadout,Colorado,Delta,Uinta Region,Active,Underground,Operating Subsidiary,Preparation Plant,Terror Creek Company,"1840 Hwy 133, Paonia, CO 81428",,0,5,"9,239"
