Historic Coal Production Data: 1984,,,,,,,,,,,,,
Source: The U.S. Energy Information Administration (EIA) and the U.S. Mine Safety and Health Administration,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,MSHA ID,Mine Name,Mine State,Mine County,Mine Basin,Mine Status,Mine Type,Company Type,Operation Type,Operating Company,Operating Company Address,Union Code,Production (short tons)
1984,102415,Grayhill-Nunally,Alabama,Bibb,Appalachia Southern,Inactive,Surface,Operating Subsidiary,Mine only,Altha Mining Div-Alied Product,"P.O. Box 36130, Burmingham, AL 35236",-,"37,800"
1984,102225,Blythe Pit,Alabama,Blount,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,Calvert 0 Marsh Coal Co,"Route 1, Oneonta, AL 35121",-,"95,217"
1984,102450,Bennett Pit,Alabama,Blount,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,Compliance Coal  Processors In,"P O Box 548, Oneonta, AL 35121",-,"180,000"
1984,102478,Sugar Creek Pit,Alabama,Blount,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,"New Acton Coal Mining Co., Inc","P.O. Box 129, Oneonta, AL 35121",-,"81,884"
1984,102556,Hendrix Mine,Alabama,Blount,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,Berry Mountain Mining Co. Inc.,"P O Box 220, Graysville, AL 35073",-,"110,228"
1984,100163,Arkadelphia 5761,Alabama,Cullman,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,Drummond Coal Co,"P O Box 1549, Jasper, AL 35501",United Mine Workers of America,"462,312"
1984,101091,Arkadelphia Pit 66,Alabama,Cullman,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,Taylor Coal Co Inc,"P O Box 1549, Jasper, AL 35501",United Mine Workers of America,"89,297"
1984,101903,Ryans Creek Mine,Alabama,Cullman,Appalachia Southern,Inactive,Surface,Operating Subsidiary,Mine only,King Coal Co Inc,"Star Route, Box 444, Crane Hill, AL 35053",-,"54,564"
1984,101903,Ryans Creek Mine,Alabama,Cullman,Appalachia Southern,Inactive,Surface,Operating Subsidiary,Mine only,King Coal Co Inc,"Star Route, Box 444, Crane Hill, AL 35053",United Mine Workers of America,"55,386"
1984,102076,Cold Springs #14,Alabama,Cullman,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,"Kinlock Coals, Inc.","Drawer 39027, Birmingham, AL 35208",United Mine Workers of America,"153,460"
1984,102555,Crooked Creek Mine,Alabama,Cullman,Appalachia Southern,Active,Surface,Operating Subsidiary,Mine only,Energy Supply Inc.,"P O Box 22528, Louisville, KY 40222",-,"110,519"
1984,102393,Carden Mine,Alabama,Dekalb,Appalachia Southern,-,Surface,-,Mine only,Rogers Heavy Equipment,"Rt.3 Box 150, Crossville, AL 35962",-,"13,609"
1984,102543,Dekalb #3,Alabama,Dekalb,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,Yancey & Yancey Inc,"P.O. Box 809, Albertville, AL 35950",-,"10,150"
1984,100759,North River No. 1 Mine,Alabama,Fayette,Appalachia Southern,Inactive,Underground,Operating Subsidiary,Mine and Preparation Plant,North River Energy Crp,"234 Vestavia Center, Northport, AL 35476",United Mine Workers of America,"857,304"
1984,102277,Davis Pit,Alabama,Fayette,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,Ron Coal Co. Inc,"P.O. Box 3173, Jasper, AL 35501",-,"20,661"
1984,102449,Star Branch Mine,Alabama,Fayette,Appalachia Southern,-,Surface,-,Mine only,Dixie Fuels Inc,"Gen Del, Berry, AL 35546",-,"43,421"
1984,101791,Pit #1,Alabama,Franklin,Appalachia Southern,Active,Surface,Operating Subsidiary,Mine only,Dime Coal Co Inc,"Po Drawer 39027, Birmingham, AL 35208",United Mine Workers of America,"143,996"
1984,101923,Warhurst #8,Alabama,Franklin,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Kinlock Coals, Inc","P.O. Drawer 390, Birmingham, AL 35208",United Mine Workers of America,"98,542"
1984,102561,Wilson Mine,Alabama,Franklin,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,Haley Bros & Partridge Coal In,"P O Box 322, Haleyville, AL 35565",-,"26,635"
1984,102564,Stevenson Mine #1,Alabama,Jackson,Appalachia Southern,-,Surface,-,Mine only,"Black Panther Coal Co., Inc.","Rt. 4, Box 224, Altoona, AL 35952",-,"35,040"
1984,-,-,Alabama,Jefferson,Appalachia Southern,-,Surface,-,Mine only,-,-,-,"29,067"
1984,100323,Chetopa Mine,Alabama,Jefferson,Appalachia Southern,Inactive,Underground,Indepedent Producer Operator,Mine and Preparation Plant,Alabama By-Products Corp,"P.O. Box 10246, Birmingham, AL 35202",United Mine Workers of America,"402,342"
1984,100328,Bessie Mine,Alabama,Jefferson,Appalachia Southern,Inactive,Underground,Operating Subsidiary,Mine and Preparation Plant,Jim Walter Resources,"P.O. Box C-79, Birmingham, AL 35283",United Mine Workers of America,"859,193"
1984,100406,Beltona Mine,Alabama,Jefferson,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,Drummond Coal Co,"Po Box 1549, Jasper, AL 35501",United Mine Workers of America,"451,655"
1984,100627,Flat Top Mine,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Drummond Coal Co.,"Po Box 1549, Jasper, AL 35501",United Mine Workers of America,"232,950"
1984,100722,Shannon Mine,Alabama,Jefferson,Appalachia Southern,Inactive,Underground,Indepedent Producer Operator,Mine and Preparation Plant,Black Diamond Coal Mining Co,"2229 1/2 1st Ave No., Birmingham, AL 35203",United Mine Workers of America,"32,711"
1984,100742,Short  Creek 8750,Alabama,Jefferson,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,Drummond Coal Company,"P O Box 1549, Jasper, AL 35501",United Mine Workers of America,"1,195,576"
1984,100758,#3 Mine Ug,Alabama,Jefferson,Appalachia Southern,Inactive,Underground,Operating Subsidiary,Mine and Preparation Plant,Jim Walter Resouces,"P.O. Box C-79, Birmingham, AL 35283",United Mine Workers of America,"2,019,016"
1984,100839,Pit No 1,Alabama,Jefferson,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine and Preparation Plant,Nickel Plate Mining Company,"P. O. Box 459, Fultondale, AL 35068",United Mine Workers of America,"28,975"
1984,100851,Oak Grove,Alabama,Jefferson,Appalachia Southern,Inactive,Underground,Indepedent Producer Operator,Mine only,U.s. Steel Mining Co Inc,"P.O. Box 599, Fairfield, AL 35064",United Mine Workers of America,"1,350,562"
1984,101037,Knob Strip,Alabama,Jefferson,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,Alabama By-Product Crp,"P.O. Box 10246, Birmingham, AL 35202",United Mine Workers of America,"455,498"
1984,101894,"Pits 55, 56, And 57",Alabama,Jefferson,Appalachia Southern,Active,Surface,Operating Subsidiary,Mine only,Oakgrove Coal Co,"P.O. Box Drawer 39027, Birmingham, AL 35208",United Mine Workers of America,"263,059"
1984,102208,Oswago Pit #1,Alabama,Jefferson,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,Black Diamond Coal Mining Co,"P.O. Box 128, Adger, AL 35006",-,"107,166"
1984,102231,Nickel Plate Mine #20,Alabama,Jefferson,Appalachia Southern,Inactive,Surface,Operating Subsidiary,Mine only,"Nickel Plate Mining Co., Inc.","P. O. Box 459, Fultondale, AL 35068",-,"20,506"
