Historic Coal Production Data: 1991,,,,,,,,,,,,,
Source: The U.S. Energy Information Administration (EIA) and the U.S. Mine Safety and Health Administration,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,MSHA ID,Mine Name,Mine State,Mine County,Mine Basin,Mine Status,Mine Type,Company Type,Operation Type,Operating Company,Operating Company Address,Union Code,Production (short tons)
1991,102723,Black Creek Mine,Alabama,Marion,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,Imac Energy Inc.,"P O Box 1251, Jasper, AL 35502",Non-Union,"50,250"
1991,102792,Gum Springs Mine,Alabama,Marion,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Rock City Coal & Equipment, In","Route 3, Winfield, AL 35594",-,"19,636"
1991,102853,Blue Creek,Alabama,Marion,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,H.m.c. Bridge Co.,"P O Box 2365, Tuscaloosa, AL 35403",-,"26,748"
1991,102882,North Goodwin Creek Mine,Alabama,Marion,Appalachia Southern,Active,Surface,-,Mine only,"Best Coal, Inc.","P O Box 1253, Cullman, AL 35056",-,"38,393"
1991,102890,South Goodwin Creek,Alabama,Marion,Appalachia Southern,Active,Surface,-,Mine only,Carbon Tech Mining Corporation,"2614 Petticoal Ln Ste 20, Birmingham, AL 35253",-,"48,020"
1991,102898,East Branch Mine,Alabama,Marion,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Dulin Energies,"Route 1 Box 328, Cordova, AL 35550",-,"58,592"
1991,100560,Kellerman Mine 1570-1,Alabama,Tuscaloosa,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Drummond Company, Inc.","P O Box 1549, Jasper, AL 35501",United Mine Workers of America,"8,771"
1991,101086,Kellerman Mine 1570-2,Alabama,Tuscaloosa,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Drummond Company, Inc.","P O Box 1549, Jasper, AL 35502",United Mine Workers of America,"935,368"
1991,101247,No 4 Mine,Alabama,Tuscaloosa,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Jim Walter Resources Inc,"P O Box 830079, Birmingham, AL 35283",United Mine Workers of America,"3,105,868"
1991,101322,No 5 Mine,Alabama,Tuscaloosa,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Jim Walter Resources Inc,"P O Box 830079, Birmingham, AL 35283",United Mine Workers of America,"1,886,191"
1991,101401,No 7 Mine,Alabama,Tuscaloosa,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Jim Walter Resources Inc,"P O Box 830079, Birmingham, AL 35283",United Mine Workers of America,"2,363,840"
1991,102558,North River Emily #3r Mine,Alabama,Tuscaloosa,Appalachia Southern,Active,Surface,Operating Subsidiary,Mine only,The Pittsburg & Midway Coal Mn,"P O Drawer 519, Berry, AL 35546",United Mine Workers of America,"266,599"
1991,102650,Bull City,Alabama,Tuscaloosa,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,C & H Mining Co Inc,"P O Drawer G, Cottondale, AL 35453",Non-Union,"124,561"
1991,102671,Warco Pit #3,Alabama,Tuscaloosa,Appalachia Southern,Active,Surface,Contractor,Mine only,Apex Mining Company Incorporat,"P O Box 36947, Birmingham, AL 35236",Non-Union,"221,380"
1991,102678,Steep Creek Iii,Alabama,Tuscaloosa,Appalachia Southern,Active,Surface,-,Mine only,"Sure Coal, Inc.","Route 5 Box 547, Cottondale, AL 35453",Non-Union,"11,554"
1991,102753,Howton Mine,Alabama,Tuscaloosa,Appalachia Southern,Active,Surface,-,Mine only,"Dunn Construction Co., Inc.","3905 Airport Highway, Birmingham, AL 35202",-,"7,413"
1991,102765,Liberty Mine,Alabama,Tuscaloosa,Appalachia Southern,Inactive,Surface,Operating Subsidiary,Mine only,"Energy Supply, Inc.","P O Box 771, Jasper, AL 35502",-,"29,129"
1991,102772,Round Mountain Mine,Alabama,Tuscaloosa,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Mcclarty Construction & Eqpt C,"Route 2 Box 327, Horton, AL 35980",Non-Union,"81,939"
1991,102774,Peterson Kar-Bon Mining Compan,Alabama,Tuscaloosa,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,Kar-Bon Mining Company,"2210 8th Street, Tuscaloosa, AL 35401",Non-Union,"16,310"
1991,102781,Alston Mine,Alabama,Tuscaloosa,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Abston Construction Co.,"15694 Highway 216, Brookwood, AL 35444",Non-Union,"103,926"
1991,102847,Hanna Mill Mine,Alabama,Tuscaloosa,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,M.e.c. Inc.,"P O Box 117, Brookwood, AL 35444",-,"47,312"
1991,102863,Poplar Springs,Alabama,Tuscaloosa,Appalachia Southern,Active,Surface,-,Mine only,"C & H Mining Company, Inc.","P O Drawer G, Cottondale, AL 35453",-,"9,489"
1991,102880,Weller Mine,Alabama,Tuscaloosa,Appalachia Southern,Active,Surface,Operating Subsidiary,Mine only,"Oak Grove Coal Company, Inc.","P O Box 68, Adger, AL 35006",Non-Union,"113,931"
1991,102910,Whiteoak Mine,Alabama,Tuscaloosa,Appalachia Southern,Active,Surface,-,Mine only,Dove Coal Corporation,"P O Box 482, Northport, AL 35476",-,"52,960"
1991,102913,River Ramp Mine,Alabama,Tuscaloosa,Appalachia Southern,Active,Surface,-,Mine only,"Bar Coal, Inc.","Route 1 Box 301, Bryant, AL 35958",-,"14,280"
1991,102931,Rockhouse Mine,Alabama,Tuscaloosa,Appalachia Southern,Active,Surface,-,Mine only,"Ats, Inc.","Route 5 Box 429, Cottondale, AL 35453",-,515
1991,100341,Bankhead Mine,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,"Russell Coal, Incorporated","P O Box 3187, Jasper, AL 35502",United Mine Workers of America,"284,107"
1991,100515,Mary Lee No. 1 Mine,Alabama,Walker,Appalachia Southern,Active,Underground,Indepedent Producer Operator,Mine only,"Drummond Company, Inc.","P O Box 1549, Jasper, AL 35502",United Mine Workers of America,"1,689,179"
1991,100821,Mary Lee No 2 Mine,Alabama,Walker,Appalachia Southern,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,"Drummond Company , Inc.","P O Box 1549, Jasper, AL 35502",United Mine Workers of America,"1,183,446"
1991,101270,Cedrum Mine,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Drummond Company, Inc.","P O Box 1549, Jasper, AL 35502",United Mine Workers of America,"876,397"
1991,101883,Dixie Springs Mine,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,A J Taft Coal Company Inc,"P O Box 280, Oakman, AL 35579",United Mine Workers of America,"8,824"
1991,101985,Cedrum Mine No 2,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Drummond Company, Inc.","P O Box 1549, Jasper, AL 35501",United Mine Workers of America,"535,056"
1991,102268,Bryants Creek,Alabama,Walker,Appalachia Southern,Active,Surface,-,Mine only,Birmingham Coal & Coke,"200 Cahaba Park S Ste 11, Birmingham, AL 35242",-,"55,162"
1991,102489,Riverside,Alabama,Walker,Appalachia Southern,Active,Surface,-,Mine only,"Best Coal, Inc.","P O Box 1253, Cullman, AL 35056",-,"37,280"
1991,102611,Mine #3,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Lost Creek Coal Company Inc,"Route 5 Box 540, Jasper, AL 35501",Non-Union,"95,544"
1991,102616,Lost Creek Pit #28,Alabama,Walker,Appalachia Southern,Active,Surface,Operating Subsidiary,Mine only,"Gateway Malls, Inc.","P O Box 1158, Carbon Hill, AL 35549",Non-Union,"466,383"
1991,102644,Pit No 6,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Cordova Clay Company Inc,"P O Box 100, Cordova, AL 35550",Non-Union,"4,034"
1991,102648,Briceton Mine,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Black Warrior Minerals Incorpo,"P O Drawer P, Sumiton, AL 35148",Non-Union,"306,984"
1991,102707,Pleasant Grove #20,Alabama,Walker,Appalachia Southern,Active,Surface,Operating Subsidiary,Mine only,"Gateway Malls, Inc.","P O Box 1158, Carbon Hill, AL 35549",Non-Union,"349,764"
1991,102773,Clarke Mine,Alabama,Walker,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,"Cedar Creek Mining Company, In","P O Box 1089, Carbon Hill, AL 35549",-,"4,215"
1991,102802,Coal Creek Mine,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,"Russell Coal, Inc.","P O Box 3187, Jasper, AL 35502",United Mine Workers of America,"275,000"
1991,102817,Dogtown Mine,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Haley Bros. & Partridge Coal,","P O Box 322, Haleyville, AL 35565",Non-Union,"61,615"
1991,102835,Bradley Town Mine,Alabama,Walker,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,"Nugget Coal Company, Inc.","300 Vestavia Pky Ste 390, Birmingham, AL 35216",-,"44,497"
1991,102842,Trinity Mine,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"G & K Coal, Inc.","Route 9 Box 439b, Jasper, AL 35501",-,"13,453"
1991,102849,Wolf Creek Mine,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"A J Taft Coal Co., Inc.","P O Box 280, Oakman, AL 35579",-,"613,190"
1991,102858,Mine No. 5,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Lost Creek Coal Co., Inc.","Route 5 Box 540, Jasper, AL 35501",-,"81,446"
1991,102862,Hatt Mine,Alabama,Walker,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,Bookout Construction Corp.,"P O Box 2421, Jasper, AL 35501",-,"2,271"
