Historic Coal Production Data: 2003,,,,,,,,,,,,,,,
Source: The U.S. Energy Information Administration (EIA) and the U.S. Mine Safety and Health Administration,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Year,MSHA ID,Mine Name,Mine State,Mine County,Mine Basin,Mine Status,Mine Type,Company Type,Operation Type,Operating Company,Operating Company Address,Union Code,Production (short tons),Average Employees,Labor Hours
2003,103117,Mine #2,Alabama,Cullman,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Twin Pines Coal Company Inc,"1874 County Road 15, Bremen, AL 35503",,"177,381",50,"67,199"
2003,103246,Bear Creek,Alabama,Franklin,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Birmingham Coal & Coke Co., In","P.O. Box 354, Lynn, AL 35575",,"46,049",4,"11,075"
2003,103006,Bledsoe Mine No 1,Alabama,Jackson,Appalachia Southern,Mine closed by MSHA,Underground,Indepedent Producer Operator,Mine only,A L Select Inc,"P.O. Box 864, Stevenson, AL 35772",,500,3,"5,161"
2003,103183,Henager,Alabama,Jackson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Gtm Mining Corporation,"15693 Alabama Highway 71, Pisgah, AL 35765",,"55,187",8,"19,348"
2003,100329,Concord Mine,Alabama,Jefferson,Appalachia Southern,Active,Surface,Operating Subsidiary,Preparation Plant,"Oak Grove Resources, Llc","8800 Oak Grove Mine Road, Adger, AL 35006",United Mine Workers of America,0,23,"52,009"
2003,100329,Concord Mine,Alabama,Jefferson,Appalachia Southern,Active,Underground,Operating Subsidiary,Preparation Plant,"Oak Grove Resources, Llc","8800 Oak Grove Mine Road, Adger, AL 35006",United Mine Workers of America,0,23,"52,008"
2003,100851,Oak Grove Mine,Alabama,Jefferson,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine only,"Oak Grove Resources, Llc","8800 Oak Grove Mine Rd, Adger, AL 35006",United Mine Workers of America,"1,730,395",301,"710,857"
2003,102354,Lindbergh,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,C & H Mining Company Inc,"P.O. Box 2328, Jasper, AL 35502",,"185,626",29,"61,964"
2003,102760,Merritt Rogers Mine,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,M S & R Equipment Company Inc,"2361 Cumberland Lake Dr, Pinson, AL 35126",,"188,797",23,"48,345"
2003,102901,Shoal Creek Mine,Alabama,Jefferson,Appalachia Southern,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,"Drummond Company, Inc.","P.O. Box 1549, Jasper, AL 35501",United Mine Workers of America,"3,840,165",675,"1,583,983"
2003,102951,Majestic,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,R J R Mining Company Inc,"104 3rd Street Sw, Cullman, AL 35055",,"60,783",5,"9,975"
2003,103101,North Pratt Prep,Alabama,Jefferson,Appalachia Southern,Mine closed by MSHA,Underground,Indepedent Producer Operator,Preparation Plant,"A2m, Llc","P.O. Box 244, Buckner, KY 40010",,0,11,"17,773"
