Historic Coal Production Data: 1986,,,,,,,,,,,,,
Source: The U.S. Energy Information Administration (EIA) and the U.S. Mine Safety and Health Administration,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,MSHA ID,Mine Name,Mine State,Mine County,Mine Basin,Mine Status,Mine Type,Company Type,Operation Type,Operating Company,Operating Company Address,Union Code,Production (short tons)
1986,-,-,Alabama,Bibb,Appalachia Southern,-,Surface,-,Mine only,-,-,-,"37,168"
1986,102638,Woodstock Pit #1,Alabama,Bibb,Appalachia Southern,-,Surface,-,Mine only,Allied Products Co Coal Mining,"P.O. Box 36130, Birmingham, AL 35236",-,"7,949"
1986,102665,Pit #1,Alabama,Bibb,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,Osborn Coal Enterprises Inc,"2200 Pinehurst Drive, Garden Dale, AL 35071",Non-Union,609
1986,102672,Pit #2,Alabama,Bibb,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,Osborn Coal Enterprises Inc.,"2200 Pinehurst Dr, Gardendale, AL 35071",Non-Union,"7,311"
1986,102478,Sugar Creek Pit (1 & 2),Alabama,Blount,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,"New Acton Coal Mining Co, Inc.","P O Box 129, Oneonta, AL 35121",Non-Union,"36,260"
1986,102594,Nyota Mine,Alabama,Blount,Appalachia Southern,-,Surface,-,Mine only,"Blount Contractors, Inc","Route 1 Box 399, Oneonta, AL 35121",-,"58,034"
1986,102666,Dry Creek Pit,Alabama,Blount,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,New Acton Coal Mining Company,"P O Box 129, Oneonta, AL 35121",Non-Union,"10,461"
1986,100163,Arkadelphia 5761,Alabama,Cullman,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,"Drummond Company, Inc.","Post Office Box 1549, Jasper, AL 35501",-,"521,592"
1986,101903,Ryan Creek,Alabama,Cullman,Appalachia Southern,Inactive,Surface,Operating Subsidiary,Mine only,King Coal Company Inc,"Star Rt Box 444, Crane Hill, AL 35053",-,"30,497"
1986,102465,Mt. Hope Mine,Alabama,Cullman,Appalachia Southern,-,Surface,-,Mine only,Fields Coal Company Inc,"1300 Second Ave S.W., Apt 121, Cullman, AL 35055",-,983
